o,y,m,lx_kh,lx_th,cld_kh,cld_th,pt_kh,pt_th,dt_kh,dt_th,ln_th,ngay_lv,scc_dt,ds_dt,dvgt_dt,dvgt_b1053,dong_dt,son_cld,dt_lsc,bh_lsc,ds_lsc,dt_son,son_dt,gv_son,cvdv,scc_n,b_n,p_n,hs_cvdv_m,hs_scc_m,hs_b_m,hs_p_m,lx_nt,dt_nt,cld_nt,pt_nt,csi_n,csi_kg,csi_td,csi_cvdv,csi_tt,csi_clsc,csi_grx,csi_ov
HNB,2023,6,427.4878,373,484.971,417.309,913.518,802.819,1430.992,1263.659,161.951,26,12.632,153.244,78.65,78.65,48.179,168.135,1263.659,452.492,216.314,168.135,168.135,71.075,3,7,3,4,421.2,27.1,16.1,42,0,0,0,0,0,,,,,,,
HNB,2023,7,347.1886,322,378.197,354.378,674.004,592.401,1078.599,969.107,104.327,26,8.44,119.909,59.36,59.36,32.154,156.843,969.107,253.347,188.998,156.843,156.843,72.395,3,7,3,5,323,20.1,10.7,31.4,0,0,0,0,0,,,,,,,
HNB,2023,8,382,336,433.828,404.547,817.127,684.915,1280,1105.301,144.829,26,6.43,118.285,90.09,90.09,47.691,157.891,1105.301,130.442,205.582,157.891,157.891,63.315,3,7,3,5,368.4,27.3,15.9,31.6,0,0,0,0,0,,,,,,,
HNB,2023,9,435.5876,346,428.687,391.269,838.194,572.18,1300,976.081,142.362,26,3.925,142,68.22,68.22,32.653,157.103,976.105,204.807,189.756,157.103,157.103,65.889,3,7,3,5,325.4,22.6,10.9,31.4,0,0,0,0,0,,,,,,,
HNB,2023,10,440.0875,356,442.838,396.378,996.869,1131.161,1473.168,1595.451,120.201,26,21.69,154.536,72.4,72.4,45.084,170.58,1595.452,668.554,270.167,170.58,170.58,70.685,3,7,2,5,531.8,26,22.5,34.1,0,0,0,0,0,,,,,,,
HNB,2023,11,454,343,481.722,401.906,1002.116,819.038,1518.358,1246.477,147.687,26,7.775,153.599,61.24,61.24,53.895,150.93,1246.418,143.438,458.887,150.93,150.93,65.797,3,7,2,5,415.5,23.7,26.9,30.2,0,0,0,0,0,,,,,,,
HNB,2023,12,430,475,443.306,510.103,924,724.285,1400,1252.479,227.371,26,10.615,230.534,92.97,92.97,33.434,160.641,1253.728,202.241,325.917,160.641,160.641,60.604,3,7,2,5,417.9,31.5,16.7,32.1,0,0,0,0,0,,,,,,,
HNB,2024,1,423,460,430.43,540.112,817.445,774.826,1289.779,1323.956,255.197,26,10.73,172.787,116.36,116.36,50.071,199.182,1323.957,193.164,403.296,199.182,199.182,58.904,3,7,2,4,441.3,35.9,25,49.8,0,0,0,0,0,,,,,,,
HNB,2024,2,323,355,339.567,363.886,606.075,597.167,978.7,973.26,135.983,26,7.98,125.347,81.9,81.9,43.407,117.459,973.26,155.539,268.273,117.459,117.459,43.859,3,7,2,4,324.4,26,21.7,29.4,0,0,0,0,0,,,,,,,
HNB,2024,3,438,438,434.82,524.665,857.01,956.99,1334.162,1518.567,224.647,26,6.105,211.018,122.66,122.66,51.847,169.947,1518.567,430.477,478.063,169.947,169.947,57.467,3,7,2,4,506.2,36.1,25.9,42.5,0,0,0,0,0,,,,,,,
HNB,2024,4,424,378,425.544,409.856,783.577,737.776,1250.55,1171.115,154.205,26,8.335,130.328,98.74,98.74,49.089,146.848,1171.425,216.228,335.005,146.848,146.848,32.265,3,7,2,4,390.5,29.6,24.5,36.7,0,0,0,0,0,,,,,,,
HNB,2024,5,459,383,449.929,426.396,888.231,720.237,1381.963,1184.44,162.379,26,10.165,134.769,121.28,121.28,38.728,159.261,1184.44,276.912,397.38,159.261,159.261,40.671,3,7,2,4,394.8,33,19.4,39.8,0,0,0,0,0,,,,,,,
HNB,2024,6,464,399,436.406,437.238,923.152,705.218,1402.044,1153.9,180.372,26,2.955,148.662,127.96,127.96,36.926,132.179,1153.9,192.465,317.182,132.179,132.179,30.852,3,7,2,4,384.6,34.9,18.5,33,0,0,0,0,0,,,,,,,
HNB,2024,7,475,451,460.681,435.917,921.325,723.561,1426.855,1165.762,185.087,26,9.875,182.268,94.795,94.795,26.438,128.825,1165.762,146.512,281.104,128.825,128.825,29.407,3,7,2,4,388.6,31,13.2,32.2,0,0,0,0,0,,,,,,,
